action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,9744,722,0.002815
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3567,335,0.001115
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,11583,1320,0.003901
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1190,178,0.000452
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,917,138,0.000349
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1161,184,0.000453
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,977,159,0.000386
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,976,301,0.000556
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9682,1857,0.004165
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,15167,565,0.003711
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,15264,603,0.003776
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,16012,1681,0.00522
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,16194,1875,0.005489
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,17535,1533,0.005347
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,16603,325,0.003711
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3335,1654,0.002652
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5387,1534,0.002918
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,4526,469,0.001468
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,13867,2048,0.004946
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,13025,3043,0.006257
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,10438,966,0.003247
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,862,375,0.000622
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,13658,2613,0.005867
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,519,319,0.000487
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,7306,424,0.00197
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,7320,314,0.001841
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,12870,522,0.0032
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,7380,768,0.002398
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,9258,1713,0.003907
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,786,199,0.000396
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,797,154,0.000344
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,785,169,0.00036
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,770,150,0.000334
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9500,2191,0.004529
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,15372,577,0.003767
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,15331,307,0.003435
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,16248,1975,0.00562
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,16430,2734,0.006567
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,18722,2205,0.00639
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,17822,223,0.003832
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3126,1261,0.002138
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,7311,1762,0.003577
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3305,482,0.001239
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,14433,2048,0.005059
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,13615,3631,0.00708
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,913,377,0.000635
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,721,399,0.000623
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,18511,1200,0.005142
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,494,293,0.00045
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,949,571,0.000875
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,943,546,0.000844
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,38841,4037,0.012613
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,762,659,0.000943
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,17802,247,0.003857
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,17040,736,0.004291
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,16031,677,0.004019
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,15394,671,0.003884
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,17113,1551,0.005284
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3339,618,0.001409
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3422,1120,0.002028
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3440,565,0.001366
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9514,1325,0.003493
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3357,447,0.001208
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,15293,616,0.003798
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,15104,420,0.003525
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,16110,1572,0.005108
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,16292,2153,0.005842
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,18221,2011,0.006057
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,17362,282,0.003811
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,8076,1686,0.003638
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3372,2183,0.003294
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,5081,560,0.001688
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,16799,2048,0.005532
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,16128,2873,0.006673
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,13218,1679,0.004658
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,16241,1180,0.004664
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,12813,301,0.002924
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,600,322,0.000506
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,742,429,0.000663
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,12646,356,0.002956
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,12515,656,0.00329
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,23755,865,0.005789
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,749,588,0.000855
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,14889,1459,0.004729
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,732,420,0.00065
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,926,164,0.000382
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,745,635,0.000911
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,391,105,0.000204
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9455,1500,0.003691
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2082,769,0.001339
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2092,410,0.00091
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,11452,653,0.003074
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,11323,712,0.003119
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,12346,1308,0.004039
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,12528,2597,0.005622
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,14184,1983,0.005216
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,13348,173,0.002877
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,2909,1014,0.001799
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,8388,1741,0.003767
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3841,434,0.001289
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,16872,2048,0.005547
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,16084,1905,0.005503
artifacts:regenerate:quotes,artifacts:regenerate:quotes,report_vs/artifacts/regenerate/quotes,openai,gpt-5.6-luna,2776,95,0.000669
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,16872,2048,0.002796
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,16084,2880,0.003778
artifacts:regenerate:quotes,artifacts:regenerate:quotes,report_vs/artifacts/regenerate/quotes,openai,gpt-5.6-luna,2776,749,0.001454
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,16872,2048,0.002796
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,16084,2887,0.003787
artifacts:regenerate:quotes,artifacts:regenerate:quotes,report_vs/artifacts/regenerate/quotes,openai,gpt-5.6-luna,2776,136,0.000718
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,16872,2048,0.002796
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,16084,3042,0.003973
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,19381,1133,0.005236
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,15172,3368,0.007076
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,731,286,0.000489
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,15635,216,0.003386
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,883,678,0.00099
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,15393,442,0.003609
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,15820,508,0.003774
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,14464,690,0.003721
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,728,680,0.000962
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,839,743,0.001059
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,740,560,0.00082
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,876,412,0.00067
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,410,90,0.00019
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,17707,1749,0.00564
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6406,462,0.001836
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6421,745,0.002178
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6394,486,0.001862
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9639,1658,0.003917
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6419,568,0.001965
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6416,530,0.001919
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,14948,566,0.003669
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6427,402,0.001768
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6439,1391,0.002957
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,14773,585,0.003657
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,15879,2198,0.005813
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,16061,3127,0.006965
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,18243,2204,0.006293
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,17263,216,0.003712
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3635,1671,0.002732
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,6591,1861,0.003551
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,4703,460,0.001493
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,15698,2048,0.005312
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,15071,3139,0.006781
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,11831,1016,0.003585
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,15510,1483,0.004882
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,765,415,0.000651
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,992,348,0.000616
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,8900,386,0.002243
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,8654,293,0.002082
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,738,416,0.000647
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,967,439,0.00072
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,8802,703,0.002604
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,15199,633,0.003799
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,616,284,0.000464
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,978,422,0.000702
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,990,294,0.000551
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,10277,1475,0.003825
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,1000,271,0.000525
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,536,97,0.000224
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,976,422,0.000702
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,962,439,0.000719
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,426,138,0.000251
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9538,1967,0.004268
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,16739,690,0.004176
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,16589,634,0.004079
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,17560,2653,0.006696
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,17742,3283,0.007488
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,19692,2710,0.00719
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,18835,214,0.004024
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3093,1552,0.002481
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5246,1478,0.002823
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,4350,440,0.001398
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,14156,2048,0.005004
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,13409,2859,0.006113
artifacts:regenerate:quotes,artifacts:regenerate:quotes,report_vs/artifacts/regenerate/quotes,openai,gpt-5.6-luna,2485,122,0.000643
artifacts:regenerate:linkedin_post,artifacts:regenerate:linkedin_post,report_vs/artifacts/regenerate/linkedin_post,openai,gpt-5.6-luna,2777,988,0.001741
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,18087,902,0.0047
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,13352,1991,0.00506
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,915,334,0.000584
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,728,388,0.000611
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,15108,271,0.003347
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,690,241,0.000427
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,14568,445,0.003448
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,732,323,0.000534
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,15464,635,0.003855
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,13796,747,0.003656
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,700,454,0.000685
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,409,114,0.000219
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,17059,1555,0.005278
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1207,153,0.000425
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,1844,437,0.000893
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,1784,441,0.000886
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,1788,462,0.000912
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,1797,342,0.00077
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,1857,433,0.000891
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,1797,431,0.000877
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9307,1377,0.003514
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,12995,722,0.003465
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,12809,290,0.00291
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,14031,1905,0.005092
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,13849,2144,0.005343
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,15396,1607,0.005008
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,14496,264,0.003216
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3506,1031,0.001938
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5865,2105,0.003699
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,5456,929,0.002206
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,17112,1103,0.004746
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,479,277,0.000428
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,909,338,0.000587
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,722,243,0.000436
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,24472,2872,0.008341
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,11758,266,0.002671
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,13684,768,0.003658
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,18558,448,0.004249
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,24048,692,0.00564
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,18002,1489,0.005387
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9555,1814,0.004088
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,11766,429,0.002868
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,11591,719,0.003181
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,12593,1593,0.00443
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,12775,2657,0.005743
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,14326,1864,0.005102
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,13466,178,0.002907
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3254,1262,0.002165
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,6417,1623,0.003231
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3996,436,0.001322
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,14158,2048,0.005004
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,13306,2675,0.005871
artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,openai,gpt-5.6-luna,2569,289,0.000861
artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,openai,gpt-5.6-luna,3253,315,0.001029
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,14031,2048,0.004979
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,13178,2409,0.005526
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,13654,2048,0.004903
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,12791,1471,0.004323
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,13654,2048,0.002731
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,12791,2526,0.003288
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,11678,1032,0.003574
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,738,324,0.000536
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,871,583,0.000874
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,15330,1857,0.005294
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,727,454,0.00069
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,835,624,0.000916
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,742,434,0.000669
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,8657,299,0.00209
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,8350,449,0.002209
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,794,405,0.000645
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,15041,267,0.003329
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,736,482,0.000726
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,8291,763,0.002574
